secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
635,92,0,3.63202,34.6376,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,26.3,13.07,3.43741,9.63259
636,91,0,3.63986,34.7013,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,26.3,13.07,3.43741,9.63259
637,91,0,3.64965,34.7737,0,326,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.8,13.07,3.37206,9.69794
638,91,0,3.65946,34.841,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.8,13.07,3.37206,9.69794
639,92,0,3.66934,34.8961,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.1,13.07,3.28057,9.78943
640,92,0,3.67915,34.9482,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,25.1,13.07,3.28057,9.78943
641,92,0,3.68903,34.9968,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.9,13.07,3.25443,9.81557
642,93,0,3.69889,35.0328,0,323,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.9,13.07,3.25443,9.81557
643,92,0,3.70878,35.0684,0,326,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.6,13.07,3.21522,9.85478
644,92,0,3.7187,35.1021,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.6,13.07,3.21522,9.85478
645,93,0,3.72859,35.1295,0,326,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.2,13.07,3.16294,9.90706
646,93,0,3.73853,35.1594,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,24.2,13.07,3.16294,9.90706
647,94,0,3.74846,35.1792,0,323,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.7,13.07,3.09759,9.97241
648,92,0,3.75836,35.1929,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.7,13.07,3.09759,9.97241
649,92,0,3.76631,35.2046,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.3,13.08,3.04764,10.0324
650,92,0,3.77626,35.219,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.3,13.08,3.04764,10.0324
651,93,0,3.78618,35.2277,0,323,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.9,13.08,2.99532,10.0847
652,92,0,3.79615,35.2342,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.9,13.08,2.99532,10.0847
653,91,0,3.80605,35.247,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.4,13.08,2.92992,10.1501
654,91,0,3.816,35.2557,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.4,13.08,2.92992,10.1501
655,92,0,3.82596,35.263,0,324,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,13.08,2.8776,10.2024
656,92,0,3.83591,35.2709,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22,13.08,2.8776,10.2024
657,92,0,3.84587,35.2809,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.1,13.08,2.89068,10.1893
658,92,0,3.85581,35.2929,0,326,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.1,13.08,2.89068,10.1893
659,93,0,3.86579,35.3044,0,325,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23,13.08,3.0084,10.0716
660,94,0,3.87571,35.307,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23,13.08,3.0084,10.0716
661,92,0,3.88568,35.3039,0,332,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.4,13.08,3.06072,10.0193
662,92,0,3.89368,35.3445,0,344,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.4,13.08,3.06072,10.0193
663,92,0,3.90364,35.4641,0,352,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.7,13.08,3.09996,9.98004
664,94,0,3.91367,35.5618,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.7,13.08,3.09996,9.98004
665,93,0,3.92371,35.6363,0,347,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.5,13.08,3.0738,10.0062
666,92,0,3.93379,35.7079,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.5,13.08,3.0738,10.0062
667,92,0,3.94385,35.7765,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.5,13.08,3.0738,10.0062
668,92,0,3.95396,35.8386,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,23.1,13.08,3.02148,10.0585
669,93,0,3.96408,35.8935,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.7,13.08,2.96916,10.1108
670,93,0,3.97421,35.9398,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,22.7,13.08,2.96916,10.1108
671,93,0,3.98436,35.9792,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.8,13.08,2.85144,10.2286
672,93,0,3.99452,36.0156,0,347,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.8,13.08,2.85144,10.2286
673,92,0,4.00468,36.0447,0,352,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,21.8,13.08,2.85144,10.2286
674,94,0,4.01485,36.0879,0,352,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.9,13.08,2.73372,10.3463
675,94,0,4.023,36.1116,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.1,13.08,2.62908,10.4509
676,96,0,4.0332,36.1309,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,20.1,13.08,2.62908,10.4509
677,96,0,4.04341,36.1459,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.2,13.08,2.51136,10.5686
678,95,0,4.05361,36.1612,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,19.2,13.08,2.51136,10.5686
679,94,0,4.06379,36.1788,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.08,2.36748,10.7125
680,94,0,4.07399,36.1958,0,351,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,18.1,13.08,2.36748,10.7125
681,94,0,4.08421,36.208,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.6,13.08,2.30208,10.7779
682,94,0,4.09444,36.2161,0,350,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.6,13.08,2.30208,10.7779
683,94,0,4.10466,36.2261,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.6,13.08,2.30208,10.7779
684,93,0,4.11486,36.2319,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.3,13.08,2.26284,10.8172
685,94,0,4.12507,36.2375,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
686,93,0,4.13533,36.2469,0,351,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
687,93,0,4.14555,36.2563,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
688,94,0,4.15372,36.2578,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
689,92,0,4.16396,36.2614,0,351,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.8,13.08,2.19744,10.8826
690,94,0,4.17421,36.2687,0,348,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.09,2.17294,10.9171
691,93,0,4.18443,36.2676,0,349,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.4,13.09,2.14676,10.9432
692,93,0,4.19466,36.3068,0,367,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.4,13.09,2.14676,10.9432
693,92,0,4.2049,36.412,0,376,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.2,13.09,2.12058,10.9694
694,92,0,4.21519,36.5153,0,372,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.2,13.09,2.12058,10.9694
695,94,0,4.22552,36.587,0,374,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.1,13.09,2.10749,10.9825
696,93,0,4.23586,36.6609,0,375,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.1,13.09,2.10749,10.9825
697,93,0,4.24619,36.7292,0,374,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16,13.09,2.0944,10.9956
698,93,0,4.25657,36.7821,0,375,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16,13.09,2.0944,10.9956
