secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
229,88,109,1.01446,17.0841,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.94,8.03574,4.90426
230,87,108,1.01929,17.0836,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.9,12.94,8.00986,4.93014
231,88,110,1.02408,17.0859,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.9,12.94,8.00986,4.93014
232,88,110,1.02891,17.0817,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.9,12.94,8.00986,4.93014
233,88,111,1.03277,17.085,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,61.9,12.94,8.00986,4.93014
234,88,111,1.0376,17.0901,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
235,88,110,1.04241,17.0901,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
236,89,110,1.04723,17.0856,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
237,89,110,1.05204,17.0842,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62,12.94,8.0228,4.9172
238,89,110,1.05688,17.0846,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
239,88,110,1.06169,17.0805,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
240,87,110,1.06651,17.0795,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
241,88,110,1.07132,17.0848,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
242,88,110,1.07614,17.0852,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
243,89,109,1.08098,17.081,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.94,8.04868,4.89132
244,90,109,1.08578,17.0799,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.93,8.04246,4.88754
245,90,108,1.09059,17.0853,0,50,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.2,12.93,8.04246,4.88754
246,89,109,1.09446,17.0884,0,49,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,62.1,12.93,8.02953,4.90047
