secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
230,89,0,2.16868,35.1459,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.08,2.05356,11.0264
231,90,0,2.17857,35.1447,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
232,90,0,2.1885,35.1444,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
233,89,0,2.19642,35.1367,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
234,89,0,2.20634,35.1392,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.5,13.08,2.0274,11.0526
235,89,0,2.21628,35.1395,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.08,2.05356,11.0264
236,90,0,2.22615,35.1368,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.7,13.08,2.05356,11.0264
237,89,0,2.23606,35.1348,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.9,13.08,2.07972,11.0003
238,88,0,2.246,35.1372,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.9,13.08,2.07972,11.0003
239,89,0,2.25592,35.1432,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.09,2.2253,10.8647
240,89,0,2.26582,35.1462,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17,13.09,2.2253,10.8647
241,90,0,2.27575,35.1462,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
242,89,0,2.28564,35.1356,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.1,13.09,2.23839,10.8516
243,87,0,2.29556,35.1343,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.4,13.09,2.27766,10.8123
244,87,0,2.30546,35.1311,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.4,13.09,2.27766,10.8123
245,86,0,2.31537,35.1218,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.6,13.09,2.30384,10.7862
246,85,0,2.32332,35.126,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.6,13.09,2.30384,10.7862
247,85,0,2.33324,35.1369,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.09,2.29075,10.7993
248,86,0,2.34312,35.1432,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,17.5,13.09,2.29075,10.7993
249,88,0,2.35305,35.1445,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.09,2.17294,10.9171
250,88,0,2.36295,35.1447,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.09,2.17294,10.9171
251,88,0,2.37289,35.136,0,318,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.09,2.17294,10.9171
252,88,0,2.3828,35.1351,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.7,13.1,2.1877,10.9123
253,86,0,2.3927,35.1405,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.7,13.1,2.1877,10.9123
254,87,0,2.40264,35.1433,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.6,13.1,2.1746,10.9254
255,87,0,2.41255,35.1411,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.3,13.09,2.13367,10.9563
256,87,0,2.42247,35.1423,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,16.3,13.09,2.13367,10.9563
257,87,0,2.43235,35.1446,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.8,13.09,2.06822,11.0218
258,86,0,2.44227,35.1449,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.8,13.09,2.06822,11.0218
259,88,0,2.4502,35.1492,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.5,13.09,2.02895,11.061
260,88,0,2.46014,35.1371,0,316,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.5,13.09,2.02895,11.061
261,87,0,2.47002,35.1345,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
262,87,0,2.47993,35.1435,0,322,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
263,88,0,2.48985,35.1509,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,15.2,13.08,1.98816,11.0918
264,89,0,2.49978,35.1439,0,319,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.9,13.08,1.94892,11.1311
265,88,0,2.50968,35.1444,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.9,13.08,1.94892,11.1311
266,89,0,2.5196,35.1518,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.6,13.08,1.90968,11.1703
267,89,0,2.52954,35.1466,0,317,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.7,13.08,1.92276,11.1572
268,88,0,2.53944,35.1459,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.7,13.08,1.92276,11.1572
269,89,0,2.54935,35.1491,0,320,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.5,13.09,1.89805,11.192
270,89,0,2.55927,35.153,0,323,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.5,13.09,1.89805,11.192
271,90,0,2.56919,35.1665,0,321,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.5,13.09,1.89805,11.192
272,92,0,2.57712,35.1802,0,326,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.4,13.09,1.88496,11.205
273,91,0,2.58706,35.2139,0,330,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.2,13.09,1.85878,11.2312
274,92,0,2.59702,35.2534,0,330,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.2,13.09,1.85878,11.2312
275,91,0,2.60695,35.2803,0,328,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.2,13.09,1.85878,11.2312
276,90,0,2.6169,35.3084,0,331,0,0.00000000,0.00000000,0,0,-255,0,-255,0,0,0,0,14.5,13.09,1.89805,11.192
